"species","Sample","treat","metric","herb","omni","pred","total","pred_herb","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity","herb_mg"
"ERPA","ERPA13","T","mg",7.52110416336394,0,1.78877051385752,9.30987467722146,0.237833498247611,10.743,948.92,"4:02",242,4.03333333333333,"N",1.3,0.89,15,0.00792596231859792
"ERPA","ERPA2","C","abun",6,0,0,6,0,NA,610.02,"3:52",232,3.86666666666667,"Y",1.22,1.03,18,0.00983574309039048
"ERPA","ERPA2","C","mg",2.36830184041556,0,0,2.36830184041556,0,NA,610.02,"3:52",232,3.86666666666667,"Y",1.22,1.03,18,0.0038823347438044
"ERPA","ERPA3","T","abun",18,0,5,23,0.277777777777778,9.576,542.24,"2:28",148,2.46666666666667,"Y",1,0.85,25,0.0331956329300679
"ERPA","ERPA3","T","mg",9.47738822462482,0,5.28255611803936,14.7599443426642,0.55738521972898,9.576,542.24,"2:28",148,2.46666666666667,"Y",1,0.85,25,0.0174782167022441
"ERPA","ERPA4","C","abun",17,0,3,20,0.176470588235294,23.779,847.25,"3:29",209,3.48333333333333,"N",1.3,0.8,30,0.0200649159043966
"ERPA","ERPA4","C","mg",12.5314316654703,0,2.76488517400045,15.2963168394707,0.220636017321066,23.779,847.25,"3:29",209,3.48333333333333,"N",1.3,0.8,30,0.0147907130899619
"ERPA","ERPA5","T","abun",29,0,9,38,0.310344827586207,36.256,813.36,"2:30",150,2.5,"Y",1.18,0.72,31,0.0356545687026655
"ERPA","ERPA5","T","mg",6.65625075363885,0,11.7771634462906,18.4334141999295,1.76933890897248,36.256,813.36,"2:30",150,2.5,"Y",1.18,0.72,31,0.00818364654475122
"ERPA","ERPA6","C","abun",12,0,0,12,0,NA,305.01,"1:20",80,1.33333333333333,"N",1,0.96,22,0.0393429723615619
"ERPA","ERPA6","C","mg",2.36813860970498,0,0,2.36813860970498,0,NA,305.01,"1:20",80,1.33333333333333,"N",1,0.96,22,0.00776413432249755
"ERPA","ERPA7","T","abun",9,10,7,26,0.368421052631579,13.662,1152.26,"4:25",265,4.41666666666667,"Y",1.47,0.91,20,0.0164893340044782
"ERPA","ERPA7","T","mg",3.02490105004261,2.19747026598099,16.7791324638367,22.0015037798603,3.21293363655585,13.662,1152.26,"4:25",265,4.41666666666667,"Y",1.47,0.91,20,0.00453228552238522
"ERPA","ERPA8","C","abun",20,4,5,29,0.208333333333333,9.854,982.81,"2:12",132,2.2,"Y",1.63,0.99,90,0.0244197759485557
