"species","iter","p","sum","n","observed"
"ARCA","F1",0.446,446,1000,0.00474088574397162
"ARCA","E1",0.275,275,1000,0.00737247365963095
"ARCA","D1",0.501,501,1000,-0.00336334731114057
"ARCA","C1",0.634,634,1000,-0.005629284730933
"ARCA","B1",0.783,783,1000,-0.00684086436677731
"ARCA","A1",0.578,578,1000,-0.00420927645111799
"ARCA","Z",0.836,836,1000,-0.0075329195184847
"ARCA","Y",0.913,913,1000,-0.00874449915432902
"ARCA","X",0.674,674,1000,-0.00611291123866969
"ARCA","W",1,1000,1000,-0.0110104365741215
"ARCA","V",0.876,876,1000,-0.00837884865846212
"ARCA","U",0.965,965,1000,-0.00959042829430644
"ARCA","T",0.024,24,1000,0.0127395292070372
"ARCA","S",0.085,85,1000,0.0104735917872448
"ARCA","R",0.187,187,1000,0.00926201215140049
"ARCA","Q",0.059,59,1000,0.0118936000670598
"ARCA","P",0.217,217,1000,0.00856995699969311
"ARCA","O",0.32,320,1000,0.00735837736384879
"ARCA","N",0.139,139,1000,0.00998996527950812
"ARCA","M",0.419,419,1000,0.00509243994405636
"ARCA","L",0.285,285,1000,0.00772402785971568
"ARCA","K",0.357,357,1000,0.00651244822387137
"ARCA","J",0.511,511,1000,-0.00301179311105584
"ARCA","I",0.576,576,1000,-0.00422337274690015
"ARCA","H",0.487,487,1000,-0.00159178483124083
"ARCA","G",0.731,731,1000,-0.00648931016669258
"ARCA","F",0.555,555,1000,-0.00385772225103326
"ARCA","E",0.621,621,1000,-0.00506930188687757
"ARCA","D",0.88,880,1000,-0.00839294495424428
"ARCA","C",0.686,686,1000,-0.00576135703858496
"ARCA","B",0.802,802,1000,-0.00697293667442928
"ARCA","A",0.948,948,1000,-0.00923887409422171
