"species","Sample","treat","Order","feed","abundance","S","L","bm_name","a","b","S_bm","L_bm","total_bm"
"ISME","ISME7","T","COLE","herb",3,0,3,"COLE",0.041,2.64,0,4.7790710649789,4.7790710649789
"ISME","ISME8","T","COLE","herb",17,3,14,"COLE",0.041,2.64,0.123,22.3023316365682,22.4253316365682
"ISME","ISME2","T","COLE","herb",7,4,3,"COLE",0.041,2.64,0.164,4.7790710649789,4.9430710649789
"ISME","ISME2","T","DERM","omni",2,1,1,"DERM",0.0015,3.497,0.0015,0.191203152594136,0.192703152594136
"ISME","ISME2","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"ISME","ISME7","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"ISME","ISME8","T","HYME","pred",2,2,0,"HYME",0.1636,1.9,0.3272,0,0.3272
"ISME","ISME2","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"ISME","ISME2","T","ISOP","herb",2,0,2,"ISOP",0.0101,2.844,0,1.04138180346782,1.04138180346782
"ISME","ISME7","T","NEUR","pred",1,1,0,"NEUR",0.0814,1.53,0.0814,0,0.0814
"ISME","ISME3","T","STER","herb",2,2,0,"STER",0.0598,1.724,0.1196,0,0.1196
"ISME","ISME5","T","STER","herb",3,3,0,"STER",0.0598,1.724,0.1794,0,0.1794
"ISME","ISME6","T","STER","herb",2,2,0,"STER",0.0598,1.724,0.1196,0,0.1196
"LUAL","LUAL2","C","ARAN","pred",3,1,2,"ARAN",0.1044,2.296,0.1044,5.03570446585264,5.14010446585264
"LUAL","LUAL3","C","ARAN","pred",2,2,0,"ARAN",0.1044,2.296,0.2088,0,0.2088
"LUAL","LUAL2","C","AUCH","herb",8,8,0,"AUCH",0.0548,2.354,0.4384,0,0.4384
"LUAL","LUAL3","C","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"LUAL","LUAL5","C","AUCH","herb",4,2,0,"AUCH",0.0548,2.354,0.1096,0,0.1096
